# Region type : patch outlet
# Faces       : 4
# Area        : 4.500000e-06
# Scale factor: 1.000000e+00
# Time        	average(U)	average(p)
18.15         	(3.250036e+01 -5.032125e-08 0.000000e+00)	1.013477e+05
18.2          	(3.251231e+01 -4.624203e-08 0.000000e+00)	1.013477e+05
18.25         	(3.253315e+01 -4.353609e-08 0.000000e+00)	1.013477e+05
18.3          	(3.256257e+01 -3.518131e-08 0.000000e+00)	1.013477e+05
18.35         	(3.260015e+01 -3.030314e-08 0.000000e+00)	1.013477e+05
18.4          	(3.264535e+01 -2.407742e-08 0.000000e+00)	1.013477e+05
18.45         	(3.269751e+01 -2.342788e-08 0.000000e+00)	1.013477e+05
18.5          	(3.275590e+01 -1.943659e-08 0.000000e+00)	1.013477e+05
18.55         	(3.281967e+01 -1.122502e-08 0.000000e+00)	1.013477e+05
18.6          	(3.288793e+01 -9.894707e-09 0.000000e+00)	1.013477e+05
18.65         	(3.295971e+01 -3.413417e-09 0.000000e+00)	1.013477e+05
18.7          	(3.303401e+01 -1.068503e-09 0.000000e+00)	1.013477e+05
18.75         	(3.310979e+01 1.386967e-09 0.000000e+00)	1.013477e+05
18.8          	(3.318602e+01 2.349062e-09 0.000000e+00)	1.013477e+05
18.85         	(3.326164e+01 6.041045e-10 0.000000e+00)	1.013477e+05
18.9          	(3.333563e+01 3.800132e-09 0.000000e+00)	1.013477e+05
18.95         	(3.340698e+01 6.649114e-09 0.000000e+00)	1.013477e+05
19            	(3.347473e+01 1.170048e-08 0.000000e+00)	1.013477e+05
19.05         	(3.353797e+01 9.874741e-09 0.000000e+00)	1.013477e+05
19.1          	(3.359587e+01 5.950001e-09 0.000000e+00)	1.013477e+05
19.15         	(3.364767e+01 1.202387e-09 0.000000e+00)	1.013477e+05
19.2          	(3.369269e+01 -5.004767e-09 0.000000e+00)	1.013477e+05
19.25         	(3.373032e+01 1.589429e-08 0.000000e+00)	1.013477e+05
19.3          	(3.376007e+01 1.599795e-08 0.000000e+00)	1.013477e+05
19.35         	(3.378157e+01 1.186791e-08 0.000000e+00)	1.013477e+05
19.4          	(3.379453e+01 1.179491e-08 0.000000e+00)	1.013477e+05
19.45         	(3.379879e+01 1.063101e-08 0.000000e+00)	1.013477e+05
19.5          	(3.379431e+01 1.433003e-09 0.000000e+00)	1.013477e+05
19.55         	(3.378113e+01 -6.191825e-09 0.000000e+00)	1.013477e+05
19.6          	(3.375943e+01 -7.584427e-09 0.000000e+00)	1.013477e+05
19.65         	(3.372949e+01 -1.650861e-08 0.000000e+00)	1.013477e+05
19.7          	(3.369172e+01 -3.556304e-08 0.000000e+00)	1.013477e+05
19.75         	(3.364659e+01 -5.143006e-08 0.000000e+00)	1.013477e+05
19.8          	(3.359472e+01 -6.889830e-08 0.000000e+00)	1.013477e+05
19.85         	(3.353676e+01 -7.624575e-08 0.000000e+00)	1.013477e+05
19.9          	(3.347349e+01 -8.309927e-08 0.000000e+00)	1.013477e+05
19.95         	(3.340575e+01 -9.916528e-08 0.000000e+00)	1.013477e+05
20            	(3.333444e+01 -1.151715e-07 0.000000e+00)	1.013477e+05
