# Region type : patch outlet
# Faces       : 4
# Area        : 4.500000e-06
# Scale factor: 1.000000e+00
# Time        	average(U)	average(p)
4.95          	(3.260720e+01 -3.047034e-08 0.000000e+00)	1.013477e+05
5             	(3.265363e+01 -2.639693e-08 0.000000e+00)	1.013477e+05
5.05          	(3.270690e+01 -1.307166e-08 0.000000e+00)	1.013477e+05
5.1           	(3.276624e+01 8.078278e-09 0.000000e+00)	1.013477e+05
5.15          	(3.283083e+01 -2.479351e-08 0.000000e+00)	1.013477e+05
5.2           	(3.289976e+01 -2.012479e-08 0.000000e+00)	1.013477e+05
5.25          	(3.297205e+01 -1.438775e-08 0.000000e+00)	1.013477e+05
5.3           	(3.304669e+01 -7.394256e-09 0.000000e+00)	1.013477e+05
5.35          	(3.312263e+01 1.579041e-08 0.000000e+00)	1.013477e+05
5.4           	(3.319881e+01 7.267587e-09 0.000000e+00)	1.013477e+05
5.45          	(3.327422e+01 7.069337e-09 0.000000e+00)	1.013477e+05
5.5           	(3.334783e+01 8.794061e-09 0.000000e+00)	1.013477e+05
5.55          	(3.341865e+01 -1.184940e-08 0.000000e+00)	1.013477e+05
5.6           	(3.348571e+01 -3.313421e-09 0.000000e+00)	1.013477e+05
5.65          	(3.354812e+01 2.036728e-08 0.000000e+00)	1.013477e+05
5.7           	(3.360503e+01 1.877196e-08 0.000000e+00)	1.013477e+05
5.75          	(3.365573e+01 3.748741e-10 0.000000e+00)	1.013477e+05
5.8           	(3.369954e+01 -1.032672e-08 0.000000e+00)	1.013477e+05
5.85          	(3.373588e+01 -6.873484e-09 0.000000e+00)	1.013477e+05
5.9           	(3.376428e+01 -2.587048e-09 0.000000e+00)	1.013477e+05
5.95          	(3.378437e+01 1.040513e-08 0.000000e+00)	1.013477e+05
6             	(3.379586e+01 4.163166e-08 0.000000e+00)	1.013477e+05
6.05          	(3.379863e+01 2.052978e-08 0.000000e+00)	1.013477e+05
6.1           	(3.379266e+01 3.647789e-09 0.000000e+00)	1.013477e+05
6.15          	(3.377805e+01 -2.323315e-08 0.000000e+00)	1.013477e+05
6.2           	(3.375496e+01 -1.755305e-08 0.000000e+00)	1.013477e+05
6.25          	(3.372368e+01 -1.920920e-08 0.000000e+00)	1.013477e+05
6.3           	(3.368461e+01 -2.511811e-08 0.000000e+00)	1.013477e+05
6.35          	(3.363830e+01 -4.881311e-08 0.000000e+00)	1.013477e+05
6.4           	(3.358534e+01 -7.519867e-08 0.000000e+00)	1.013477e+05
6.45          	(3.352645e+01 -1.012824e-07 0.000000e+00)	1.013477e+05
6.5           	(3.346238e+01 -9.571970e-08 0.000000e+00)	1.013477e+05
6.55          	(3.339398e+01 -9.315612e-08 0.000000e+00)	1.013477e+05
6.6           	(3.332215e+01 -1.077600e-07 0.000000e+00)	1.013477e+05
6.65          	(3.324788e+01 -1.265174e-07 0.000000e+00)	1.013477e+05
6.7           	(3.317219e+01 -1.423281e-07 0.000000e+00)	1.013477e+05
6.75          	(3.309608e+01 -1.400464e-07 0.000000e+00)	1.013477e+05
6.8           	(3.302059e+01 -1.325931e-07 0.000000e+00)	1.013477e+05
6.85          	(3.294674e+01 -1.029771e-07 0.000000e+00)	1.013477e+05
6.9           	(3.287556e+01 -1.071342e-07 0.000000e+00)	1.013477e+05
6.95          	(3.280809e+01 -1.036204e-07 0.000000e+00)	1.013477e+05
7             	(3.274525e+01 -1.109328e-07 0.000000e+00)	1.013477e+05
