# Region type : patch inlet
# Faces       : 4
# Area        : 4.500000e-06
# Scale factor: 1.000000e+00
# Time        	average(U)	average(p)
18.45         	(3.271030e+01 -2.915921e-09 0.000000e+00)	1.043061e+05
18.5          	(3.276864e+01 -2.916301e-09 0.000000e+00)	1.043439e+05
18.55         	(3.283234e+01 -2.918010e-09 0.000000e+00)	1.043786e+05
18.6          	(3.290052e+01 -2.919919e-09 0.000000e+00)	1.044093e+05
18.65         	(3.297221e+01 -2.917206e-09 0.000000e+00)	1.044355e+05
18.7          	(3.304640e+01 -2.916898e-09 0.000000e+00)	1.044574e+05
18.75         	(3.312207e+01 -2.910080e-09 0.000000e+00)	1.044745e+05
18.8          	(3.319817e+01 -2.917330e-09 0.000000e+00)	1.044866e+05
18.85         	(3.327367e+01 -2.917512e-09 0.000000e+00)	1.044933e+05
18.9          	(3.334753e+01 -2.917439e-09 0.000000e+00)	1.044947e+05
18.95         	(3.341874e+01 -2.916918e-09 0.000000e+00)	1.044910e+05
19            	(3.348635e+01 -2.917459e-09 0.000000e+00)	1.044824e+05
19.05         	(3.354945e+01 -2.917046e-09 0.000000e+00)	1.044692e+05
19.1          	(3.360721e+01 -2.920818e-09 0.000000e+00)	1.044510e+05
19.15         	(3.365888e+01 -2.919199e-09 0.000000e+00)	1.044284e+05
19.2          	(3.370377e+01 -2.914085e-09 0.000000e+00)	1.044014e+05
19.25         	(3.374130e+01 -2.910665e-09 0.000000e+00)	1.043703e+05
19.3          	(3.377096e+01 -2.917697e-09 0.000000e+00)	1.043362e+05
19.35         	(3.379236e+01 -2.916648e-09 0.000000e+00)	1.042997e+05
19.4          	(3.380526e+01 -2.928366e-09 0.000000e+00)	1.042606e+05
19.45         	(3.380946e+01 -2.919432e-09 0.000000e+00)	1.042195e+05
19.5          	(3.380493e+01 -2.915945e-09 0.000000e+00)	1.041771e+05
19.55         	(3.379171e+01 -2.924191e-09 0.000000e+00)	1.041339e+05
19.6          	(3.376998e+01 -2.917902e-09 0.000000e+00)	1.040909e+05
19.65         	(3.374001e+01 -2.917240e-09 0.000000e+00)	1.040484e+05
19.7          	(3.370221e+01 -2.929479e-09 0.000000e+00)	1.040065e+05
19.75         	(3.365709e+01 -2.918974e-09 0.000000e+00)	1.039654e+05
19.8          	(3.360524e+01 -2.918478e-09 0.000000e+00)	1.039258e+05
19.85         	(3.354732e+01 -2.925171e-09 0.000000e+00)	1.038886e+05
19.9          	(3.348408e+01 -2.917983e-09 0.000000e+00)	1.038545e+05
19.95         	(3.341639e+01 -2.911169e-09 0.000000e+00)	1.038239e+05
20            	(3.334515e+01 -2.918514e-09 0.000000e+00)	1.037966e+05
